# category	subcategory	protein:ID	color	position
Metabolism	Carbohydrate Transport and Metabolism	GLC3:GS115_000030-T1	rgb(233,133,20)	
Information Storage and Processing	Transcription	ERT1:GS115_000031-T1	rgb(113,173,189)	
Metabolism	Amino Acid Transport and Metabolism	SET3:GS115_000032-T1	rgb(241,182,49)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PAM16:GS115_000033-T1	rgb(103,63,83)	
Poorly Characterized	Function Unknown	AOA66875.1:GS115_000034-T1	rgb(23,49,66)	
Information Storage and Processing	Transcription	YKR023W:GS115_000035-T1	rgb(110,175,193)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	IME2:GS115_000036-T1	rgb(184,129,148)	
Poorly Characterized	Function Unknown	PRM10:GS115_000038-T1	rgb(12,55,66)	
Poorly Characterized	Function Unknown	PRM10:GS115_000039-T1	rgb(14,54,69)	
Information Storage and Processing	RNA Processing and Modification	SCP160:GS115_000040-T1	rgb(87,145,164)	
Poorly Characterized	Function Unknown	YFR016C:GS115_000041-T1	rgb(12,56,63)	
Poorly Characterized	Function Unknown	AOA65723.1:GS115_000042-T1	rgb(23,56,57)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	CDC34:GS115_000043-T1	rgb(125,81,129)	
Poorly Characterized	Function Unknown	AOA65664.1:GS115_000044-T1	rgb(17,49,69)	
Information Storage and Processing	Replication, Recombination and Repair	DBF4:GS115_000045-T1	rgb(56,93,133)	
Poorly Characterized	Function Unknown	RDS1:GS115_000046-T1	rgb(15,45,62)	
Metabolism	Coenzyme Transport and Metabolism	BIO2:GS115_000047-T1	rgb(243,154,38)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PNG1:GS115_000049-T1	rgb(128,82,128)	
Poorly Characterized	Function Unknown	PEA2:GS115_000050-T1	rgb(10,46,58)	
Poorly Characterized	Function Unknown	XP_002489389.1:GS115_000051-T1	rgb(11,45,60)	
Metabolism	Carbohydrate Transport and Metabolism	TPS2:GS115_000052-T1	rgb(231,134,25)	
Information Storage and Processing	Replication, Recombination and Repair	APN2:GS115_000053-T1	rgb(51,100,129)	
Poorly Characterized	Function Unknown	CGR1:GS115_000054-T1	rgb(14,46,65)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SEC13:GS115_000055-T1	rgb(98,65,75)	
Poorly Characterized	Function Unknown	AOA65535.1:GS115_000056-T1	rgb(19,47,66)	
Metabolism	Coenzyme Transport and Metabolism	DAL4:GS115_000057-T1	rgb(245,157,34)	
Poorly Characterized	Function Unknown	YIL067C:GS115_000058-T1	rgb(13,46,66)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PTP2:GS115_000059-T1	rgb(188,129,154)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	YOS1:GS115_000060-T1	rgb(106,59,77)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	LHS1:GS115_000061-T1	rgb(134,73,122)	
Information Storage and Processing	RNA Processing and Modification	AOA65950.1:GS115_000062-T1	rgb(89,137,168)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	BUB2:GS115_000063-T1	rgb(123,61,110)	
Metabolism	Energy Production and Conversion	VPH1:GS115_000064-T1	rgb(249,169,48)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	RGP1:GS115_000065-T1	rgb(96,58,80)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPP0:GS115_000066-T1	rgb(155,179,180)	
Poorly Characterized	Function Unknown	RSN1:GS115_000067-T1	rgb(14,53,65)	
Metabolism	Energy Production and Conversion	PPA2:GS115_000068-T1	rgb(253,167,56)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	NUP188:GS115_000069-T1	rgb(102,68,72)	
Information Storage and Processing	RNA Processing and Modification	PRP24:GS115_000070-T1	rgb(82,144,161)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	TMA23:GS115_000071-T1	rgb(129,64,104)	
Information Storage and Processing	RNA Processing and Modification	DBP5:GS115_000073-T1	rgb(85,137,159)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TOM6:GS115_000074-T1	rgb(103,63,76)	
Poorly Characterized	Function Unknown	TMC1:GS115_000075-T1	rgb(18,56,61)	
Metabolism	Lipid Transport and Metabolism	YKR070W:GS115_000076-T1	rgb(114,49,8)	
Metabolism	Coenzyme Transport and Metabolism	MET1:GS115_000078-T1	rgb(248,162,30)	
Information Storage and Processing	Transcription	ETT1:GS115_000079-T1	rgb(118,176,193)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	BET3:GS115_000080-T1	rgb(107,64,77)	
Metabolism	Lipid Transport and Metabolism	GPT2:GS115_000081-T1	rgb(120,40,0)	
Poorly Characterized	Function Unknown	YIF1:GS115_000082-T1	rgb(18,51,69)	
Information Storage and Processing	Replication, Recombination and Repair	POL2:GS115_000083-T1	rgb(47,95,125)	
Information Storage and Processing	Replication, Recombination and Repair	ORC5:GS115_000084-T1	rgb(47,100,129)	
Poorly Characterized	Function Unknown	LTO1:GS115_000085-T1	rgb(19,45,59)	
Poorly Characterized	Function Unknown	LIN1:GS115_000086-T1	rgb(14,47,68)	
Poorly Characterized	Function Unknown	AOA65701.1:GS115_000087-T1	rgb(17,43,57)	
Metabolism	Inorganic Ion Transport and Metabolism	ATX1:GS115_000088-T1	rgb(131,56,12)	
Poorly Characterized	Function Unknown	AOA66134.1:GS115_000089-T1	rgb(22,51,59)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	YDJ1:GS115_000090-T1	rgb(122,82,133)	
Poorly Characterized	Function Unknown	ARD1:GS115_000091-T1	rgb(15,52,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TRS31:GS115_000092-T1	rgb(96,69,75)	
Poorly Characterized	Function Unknown	AOA66768.1:GS115_000093-T1	rgb(22,53,68)	
Information Storage and Processing	Transcription	AHC1:GS115_000094-T1	rgb(114,169,188)	
Poorly Characterized	Function Unknown	SFM1:GS115_000095-T1	rgb(14,44,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	YOR022C:GS115_000096-T1	rgb(102,65,80)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	RCF1:GS115_000097-T1	rgb(164,108,161)	
Metabolism	Energy Production and Conversion	KGD2:GS115_000098-T1	rgb(255,174,52)	
Poorly Characterized	Function Unknown	AOA65515.1:GS115_000099-T1	rgb(22,54,56)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	IGO2:GS115_000100-T1	rgb(100,67,78)	
Poorly Characterized	Function Unknown	NSG1:GS115_000101-T1	rgb(17,46,60)	
Information Storage and Processing	Replication, Recombination and Repair	SWI4:GS115_000102-T1	rgb(54,105,131)	
Poorly Characterized	Function Unknown	AOA66863.1:GS115_000103-T1	rgb(13,55,56)	
Information Storage and Processing	Transcription	SWI5:GS115_000104-T1	rgb(119,166,196)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	STT4:GS115_000105-T1	rgb(191,131,152)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	TIF6:GS115_000106-T1	rgb(151,169,179)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	HSP104:GS115_000107-T1	rgb(129,79,129)	
Metabolism	Energy Production and Conversion	ACO1:GS115_000108-T1	rgb(250,166,49)	
Poorly Characterized	Function Unknown	RIM4:GS115_000109-T1	rgb(23,47,68)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RRI1:GS115_000110-T1	rgb(129,72,129)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	NPR1:GS115_000111-T1	rgb(194,138,155)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL19:GS115_000112-T1	rgb(157,173,185)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBP10:GS115_000113-T1	rgb(129,84,132)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	YNL181W:GS115_000114-T1	rgb(192,90,3)	
Poorly Characterized	Function Unknown	IPI3:GS115_000115-T1	rgb(15,54,62)	
Information Storage and Processing	RNA Processing and Modification	AOA66118.1:GS115_000116-T1	rgb(89,150,165)	
Information Storage and Processing	RNA Processing and Modification	NOP6:GS115_000117-T1	rgb(92,146,164)	
Poorly Characterized	Function Unknown	CDC42:GS115_000118-T1	rgb(11,51,59)	
Poorly Characterized	Function Unknown	CCA36283.1:GS115_000119-T1	rgb(16,50,69)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	KRE5:GS115_000120-T1	rgb(133,75,121)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPS3:GS115_000121-T1	rgb(152,168,176)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SHR3:GS115_000122-T1	rgb(98,64,74)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL22:GS115_000123-T1	rgb(154,171,185)	
Poorly Characterized	Function Unknown	MOH1:GS115_000124-T1	rgb(10,54,61)	
Poorly Characterized	Function Unknown	AOA65462.1:GS115_000125-T1	rgb(17,46,63)	
Information Storage and Processing	Transcription	NOP13:GS115_000126-T1	rgb(118,170,188)	
Metabolism	Carbohydrate Transport and Metabolism	UGP1:GS115_000127-T1	rgb(228,124,17)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RRP36:GS115_000128-T1	rgb(149,167,177)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL44:GS115_000129-T1	rgb(146,166,174)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MPD1:GS115_000130-T1	rgb(123,74,120)	
Information Storage and Processing	Transcription	GLN3:GS115_000131-T1	rgb(114,172,191)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	CDC33:GS115_000132-T1	rgb(150,166,173)	
Metabolism	Amino Acid Transport and Metabolism	DUG1:GS115_000133-T1	rgb(244,177,43)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	HRP1:GS115_000134-T1	rgb(127,75,132)	
Poorly Characterized	Function Unknown	SDT1:GS115_000135-T1	rgb(17,53,56)	
Poorly Characterized	Function Unknown	AOA66820.1:GS115_000136-T1	rgb(15,44,60)	
Metabolism	Energy Production and Conversion	COX5B:GS115_000137-T1	rgb(250,171,49)	
Poorly Characterized	Function Unknown	AOA66598.1:GS115_000138-T1	rgb(22,45,57)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	ERJ5:GS115_000139-T1	rgb(133,84,131)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	SAP155:GS115_000140-T1	rgb(123,65,113)	
Information Storage and Processing	RNA Processing and Modification	SHE10:GS115_000141-T1	rgb(87,137,172)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	ATP11:GS115_000142-T1	rgb(122,71,126)	
Metabolism	Carbohydrate Transport and Metabolism	KTR1:GS115_000143-T1	rgb(234,127,16)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	APS1:GS115_000144-T1	rgb(100,67,74)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TMN3:GS115_000146-T1	rgb(103,56,72)	
Information Storage and Processing	RNA Processing and Modification	LSM4:GS115_000147-T1	rgb(89,149,171)	
Information Storage and Processing	Replication, Recombination and Repair	TEL1:GS115_000148-T1	rgb(46,98,135)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL23B:GS115_000149-T1	rgb(152,175,181)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SLX8:GS115_000150-T1	rgb(130,82,121)	
Poorly Characterized	Function Unknown	AOA66151.1:GS115_000151-T1	rgb(13,43,62)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	BOI2:GS115_000152-T1	rgb(188,137,159)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CDC27:GS115_000153-T1	rgb(127,69,112)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	SHO1:GS115_000154-T1	rgb(185,135,159)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBR1:GS115_000155-T1	rgb(125,84,133)	
Poorly Characterized	Function Unknown	URB2:GS115_000156-T1	rgb(19,47,57)	
Poorly Characterized	Function Unknown	AOA65585.1:GS115_000157-T1	rgb(15,48,60)	
Metabolism	Inorganic Ion Transport and Metabolism	TPN1:GS115_000158-T1	rgb(130,54,10)	
Metabolism	Amino Acid Transport and Metabolism	ARO9:GS115_000159-T1	rgb(250,176,37)	
Information Storage and Processing	RNA Processing and Modification	MRN1:GS115_000160-T1	rgb(84,149,163)	
Poorly Characterized	Function Unknown	AOA66467.1:GS115_000161-T1	rgb(11,45,59)	
Metabolism	Lipid Transport and Metabolism	SLC1:GS115_000162-T1	rgb(117,46,2)	
Information Storage and Processing	RNA Processing and Modification	DCP1:GS115_000163-T1	rgb(84,147,160)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RGA1:GS115_000164-T1	rgb(184,128,148)	
Poorly Characterized	Function Unknown	FMP40:GS115_000165-T1	rgb(12,51,64)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	BET1:GS115_000166-T1	rgb(95,68,81)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CFD1:GS115_000167-T1	rgb(122,63,108)	
Poorly Characterized	Function Unknown	AOA66449.1:GS115_000168-T1	rgb(13,45,62)	
Metabolism	Carbohydrate Transport and Metabolism	YEA4:GS115_000169-T1	rgb(235,130,26)	
Poorly Characterized	Function Unknown	YMR010W:GS115_000170-T1	rgb(12,52,56)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	MIT1:GS115_000171-T1	rgb(193,134,148)	
Information Storage and Processing	Transcription	YAP5:GS115_000172-T1	rgb(118,172,190)	
Poorly Characterized	Function Unknown	PET127:GS115_000173-T1	rgb(15,53,67)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ATG2:GS115_000174-T1	rgb(94,69,77)	
Poorly Characterized	Function Unknown	AOA65459.1:GS115_000175-T1	rgb(20,52,57)	
Information Storage and Processing	Transcription	MET32:GS115_000176-T1	rgb(116,179,185)	
Poorly Characterized	Function Unknown	AOA65872.1:GS115_000177-T1	rgb(23,49,65)	
Information Storage and Processing	Transcription	EGD1:GS115_000178-T1	rgb(112,173,195)	
Poorly Characterized	Function Unknown	AOA65936.1:GS115_000179-T1	rgb(11,48,65)	
Poorly Characterized	Function Unknown	PAM1:GS115_000180-T1	rgb(13,50,58)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SCJ1:GS115_000181-T1	rgb(134,81,128)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	DML1:GS115_000182-T1	rgb(74,55,72)	
Poorly Characterized	Function Unknown	AOA66827.1:GS115_000183-T1	rgb(20,56,62)	
Poorly Characterized	Function Unknown	TMA16:GS115_000184-T1	rgb(10,54,59)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	CAF20:GS115_000185-T1	rgb(151,179,185)	
Poorly Characterized	Function Unknown	EFR3:GS115_000186-T1	rgb(22,45,63)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	IML1:GS115_000187-T1	rgb(183,127,159)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CEF1:GS115_000188-T1	rgb(119,71,111)	
Information Storage and Processing	RNA Processing and Modification	CFT1:GS115_000189-T1	rgb(95,147,172)	
Poorly Characterized	Function Unknown	RIM20:GS115_000190-T1	rgb(18,51,66)	
Metabolism	Coenzyme Transport and Metabolism	MOD5:GS115_000191-T1	rgb(246,165,35)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	FSF1:GS115_000192-T1	rgb(106,60,71)	
Metabolism	Lipid Transport and Metabolism	ERG12:GS115_000193-T1	rgb(114,47,9)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YTM1:GS115_000194-T1	rgb(146,178,183)	
Metabolism	Carbohydrate Transport and Metabolism	YMR209C:GS115_000195-T1	rgb(229,131,16)	
Poorly Characterized	Function Unknown	PPT2:GS115_000196-T1	rgb(20,43,62)	
Metabolism	Nucleotide Transport and Metabolism	GUA1:GS115_000197-T1	rgb(249,197,65)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RAM2:GS115_000198-T1	rgb(128,76,131)	
Cellular Processes and Signaling	Defense Mechanisms	YVH1:GS115_000199-T1	rgb(100,74,120)	
Poorly Characterized	Function Unknown	AOA66143.1:GS115_000200-T1	rgb(12,51,58)	
Metabolism	Coenzyme Transport and Metabolism	COX10:GS115_000201-T1	rgb(250,164,38)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RPN8:GS115_000202-T1	rgb(130,71,130)	
Poorly Characterized	Function Unknown	RBL2:GS115_000205-T1	rgb(10,50,64)	
Poorly Characterized	Function Unknown	GPN2:GS115_000206-T1	rgb(23,56,69)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	BUD27:GS115_000207-T1	rgb(130,84,133)	
Poorly Characterized	Function Unknown	AOA66030.1:GS115_000208-T1	rgb(21,43,65)	
Poorly Characterized	Function Unknown	AOA66436.1:GS115_000209-T1	rgb(23,46,65)	
Poorly Characterized	Function Unknown	AOA66313.1:GS115_000210-T1	rgb(19,48,60)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SEC61:GS115_000211-T1	rgb(105,68,78)	
Poorly Characterized	Function Unknown	YDL177C:GS115_000212-T1	rgb(18,48,62)	
Poorly Characterized	Function Unknown	AOA66487.1:GS115_000213-T1	rgb(17,45,63)	
Poorly Characterized	Function Unknown	YNL040W:GS115_000214-T1	rgb(15,45,61)	
Poorly Characterized	Function Unknown	YBR138C:GS115_000215-T1	rgb(17,49,69)	
Metabolism	Inorganic Ion Transport and Metabolism	VBA1:GS115_000216-T1	rgb(134,51,11)	
Poorly Characterized	Function Unknown	CIA1:GS115_000217-T1	rgb(18,51,56)	
Metabolism	Coenzyme Transport and Metabolism	CYC2:GS115_000218-T1	rgb(246,164,29)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEP12:GS115_000219-T1	rgb(107,58,83)	
Metabolism	Energy Production and Conversion	AOA66770.1:GS115_000221-T1	rgb(254,170,49)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	DYS1:GS115_000222-T1	rgb(133,74,129)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	ERG11:GS115_000223-T1	rgb(188,91,11)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	SAK1:GS115_000224-T1	rgb(188,127,150)	
Metabolism	Carbohydrate Transport and Metabolism	TPO3:GS115_000225-T1	rgb(233,137,23)	
Poorly Characterized	Function Unknown	ECM21:GS115_000226-T1	rgb(15,46,56)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MBA1:GS115_000227-T1	rgb(127,76,124)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	SUR1:GS115_000228-T1	rgb(169,107,162)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	GYP1:GS115_000229-T1	rgb(107,69,76)	
Metabolism	Coenzyme Transport and Metabolism	MTD1:GS115_000230-T1	rgb(251,155,33)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SAC3:GS115_000232-T1	rgb(100,69,76)	
Poorly Characterized	Function Unknown	MTC5:GS115_000233-T1	rgb(18,48,63)	
Poorly Characterized	Function Unknown	GS115_000234-T1:GS115_000234-T1	rgb(15,49,65)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CDC20:GS115_000235-T1	rgb(117,67,108)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	FKS1:GS115_000236-T1	rgb(171,110,162)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	GAS1:GS115_000237-T1	rgb(174,105,169)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	GAS1:GS115_000238-T1	rgb(174,108,158)	
Information Storage and Processing	RNA Processing and Modification	PXR1:GS115_000239-T1	rgb(86,147,165)	
Metabolism	Carbohydrate Transport and Metabolism	SCW10:GS115_000240-T1	rgb(233,133,15)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	RTN1:GS115_000242-T1	rgb(102,58,76)	
Poorly Characterized	Function Unknown	AOA66262.1:GS115_000243-T1	rgb(19,49,64)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEP5:GS115_000244-T1	rgb(104,64,76)	
Information Storage and Processing	Transcription	HOG1:GS115_000245-T1	rgb(110,173,188)	
Information Storage and Processing	Transcription	RGT1:GS115_000246-T1	rgb(114,169,187)	
Poorly Characterized	Function Unknown	MUK1:GS115_000247-T1	rgb(17,46,67)	
Poorly Characterized	Function Unknown	AOA66824.1:GS115_000248-T1	rgb(23,51,63)	
Poorly Characterized	Function Unknown	AOA66599.1:GS115_000249-T1	rgb(10,55,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	INP54:GS115_000250-T1	rgb(94,62,78)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	RER1:GS115_000251-T1	rgb(100,69,78)	
Cellular Processes and Signaling	Nuclear Structure	PSE1:GS115_000252-T1	rgb(166,101,133)	
Metabolism	Lipid Transport and Metabolism	PGS1:GS115_000253-T1	rgb(120,47,7)	
Information Storage and Processing	RNA Processing and Modification	RIB2:GS115_000254-T1	rgb(88,143,172)	
Metabolism	Coenzyme Transport and Metabolism	FAD1:GS115_000255-T1	rgb(243,159,37)	
